splimage,splshape_text,splimprint,splcolor_text
00574-0220-01_0D0886B4,ROUND,5;220,WHITE
00093-5767-56_NLMIMAGE10_4338A1D5,ROUND,TEVA;5767,WHITE
00378-1165-91_3E201F00,OVAL,M;B3;5;5;5,WHITE
51285053802,CAPSULE,OP;718,BLUE;YELLOW
597621520,DIAMOND,G;1520;2;5,WHITE
504740910,OVAL,ucb;910,PINK
00310-0142-11_NLMIMAGE10_0E47871C,ROUND,ZESTORETIC;142,WHITE
762820405,CAPSULE,1;2,WHITE
00093-3123-01_EB26F597,CAPSULE,TEVA;3123,GREEN;GREEN
435980220,OVAL,AUGMENTIN;XR,WHITE
65597-0101-30_35131A98,ROUND,Sankyo;C12,YELLOW
00093-0308-01_342B1A18,ROUND,93;308,WHITE
101350152,ROUND,GPI;A5,WHITE
605052616,OVAL,CLA250;APO,YELLOW
66213-0425-10_NLMIMAGE10_16398B7C,SEMI-CIRCLE,D;Donnatal,WHITE
00115-0533-01_9405CA2E,CAPSULE,G;0533,ORANGE
628560680,CAPSULE,Eisai;ZONEGRAN;100,WHITE;RED
525440729,OVAL,NORCO;729,ORANGE
680120309,ROUND,MX9,WHITE
53746-0466-05_8B0845D2,OVAL,IP;466,WHITE
00093-5277-01_NLMIMAGE10_F541FAFF,ROUND,93;5277,WHITE
321e83de-71f3-20b4-e054-00144ff8d46c,ROUND,CM;1721,WHITE
55111-0355-60_NLMIMAGE10_783CBC65,CAPSULE,RDY;355,WHITE
510790107,ROUND,M;51,GREEN
620370600,CAPSULE,Andrx;600;300;mg,ORANGE;ORANGE
00781-5405-01_4A132549,ROUND,SZ;183,BROWN
68462-0292-01_NLMIMAGE10_4C3F2609,OVAL,292,BROWN
68382-0114-05_NLMIMAGE10_C13F609B,ROUND,ZC;75,WHITE
00591-0411-50_DB056DEB,CAPSULE,WATSON;411;100;mg,BROWN;WHITE
510790089,OVAL,Par;034,BLUE
55111-0124-05_NLMIMAGE10_8A3A4572,OVAL,RDY;124,WHITE
10370-0536-01_NLMIMAGE10_334999EC,ROUND,A536;3;mg,BLUE
231550002,ROUND,HP;2,PINK
499380101,ROUND,JACOBUS;100;101,WHITE
64720-0323-10_F51DFA9F,CAPSULE,cor;323,GREEN;TURQUOISE;WHITE
498840055,ROUND,Par;55,BROWN
63459020530,ROUND,C;205,WHITE
16729-0031-01_NLMIMAGE10_6440B275,ROUND,AHI;M23,ORANGE
51285-0114-58_942DCA0E,ROUND,dp;021,WHITE
648960671,ROUND,ZOMIG;25,YELLOW
00228-2067-10_C11B60FB,CAPSULE,R;067,PINK
00006-0960-54_C31361AB,TEAR,960,WHITE
57664-0104-88_0B0405B0,ROUND,104,WHITE
55111-0158-10_NLMIMAGE10_BD38DEF6,CAPSULE,Omepraole;20mg;R158,WHITE
540920389,CAPSULE,ADDERALL;XR;25;mg,ORANGE;WHITE
433530817,OVAL,I;G;213,BLUE
605052502,ROUND,LE;10;APO,WHITE
69097-0122-12_NLMIMAGE10_AD4356FA,ROUND,122;C,WHITE
16714-0101-05_NLMIMAGE10_9449CA7E,OVAL,N111,WHITE
633040505,CAPSULE,RX505,WHITE
664900690,SQUARE,MYSOLINE;50;M,WHITE
675440003,ROUND,4;M,WHITE
604290034,ROUND,T53,WHITE
466720053,OVAL,MIA;110,WHITE
60505-0209-01_NLMIMAGE10_5A462D51,ROUND,APO;10;25,RED
605050193,ROUND,APO;AML;2;5,WHITE
51293-0802-01_NLMIMAGE10_814140FA,ROUND,AN;2,BROWN
57664-0435-58_C916E487,ROUND,435,WHITE
651620713,OVAL,AN;713,WHITE
00527-1345-10_4D082681,ROUND,JSP;516,YELLOW
101470882,ROUND,JANSSEN;G;8,PINK
614420113,OVAL,CTI;113,WHITE
00093-5150-01_2E29974C,OVAL,5150;93,PINK
605050206,OVAL,APO;20;12;5,WHITE
00591-0782-01_NLMIMAGE10_FA45FD5F,OVAL,Watson;782,WHITE
51293-0801-01_NLMIMAGE10_394A1C90,ROUND,AN;1,BROWN
596300400,CAPSULE,Ponstel;FHPC;400,WHITE
00228-2803-11_34269A44,ROUND,R;803,WHITE
00087-2875-32_F212F937,OVAL,2875,ORANGE
669930406,ROUND,URS790,WHITE
605051310,OVAL,APO;CIP750,WHITE
422910802,ROUND,G;2622,WHITE
498840677,ROUND,A;153,YELLOW
64a55883-ada5-4769-e053-2a91aa0ae5f6,ROUND,111,PINK
00555902658part1of2,ROUND,b;977,YELLOW
00173-0712-02_splimage30_32191978,OVAL,GX;CE2,YELLOW
13668-0080-30_NLMIMAGE10_9B3E4DA2,ROUND,1080;5,PINK
00093-7327-01_B02D580A,OVAL,93;7327,RED
68180-0519-02_19088CB4,ROUND,LL;B02,YELLOW
162520571,CAPSULE,RP;2;5,ORANGE;WHITE
00173-0344-42_6F18B795,FREEFORM,ZANTAC;150;Glaxo,ORANGE
32a80133-8c7c-57f8-e054-00144ff88e88,OVAL,AP;117,WHITE
625590160,OVAL,1221,WHITE
578960921,ROUND,44;227,ORANGE
13668-0038-60_C704E387,OVAL,R2;1038,ORANGE
246580163,OVAL,AP205,WHITE
605050190,CAPSULE,APO;500;MET,WHITE
78936619-6e4b-bb58-e053-2991aa0a0e79,CAPSULE,Suven;667,BLUE;WHITE
597460233,OVAL,J;233,ORANGE
677670142,OVAL,142,WHITE
13107-0006-05_1D050ED8,CAPSULE,A;0;6,PINK
683820132,CAPSULE,ZA;18;0;4mg,GREEN;ORANGE
51991-0819-01_NLMIMAGE10_B14158CA,CAPSULE,120;RD203,ORANGE
00603-2950-28_C415621B,ROUND,2532;V,WHITE
597625017,OVAL,FLZ;150,PINK
504740300,CAPSULE,Theo;24;300;mg;ucb;2852,RED
00173-0880-25_2419920C,ROUND,WELLCOME;U3B,GREEN;WHITE
617480025,CAPSULE,VP;25,ORANGE
65862-0050-30_012180AC,ROUND,A;15,YELLOW
551110333,ROUND,R333,YELLOW
669930047,ROUND,7652,WHITE
648960691,ROUND,Z,WHITE
57664-0391-08_NLMIMAGE10_6046B065,OVAL,391,WHITE
317220207,ROUND,207;IG,PINK
50844-0185-08_NLMIMAGE10_6E35B74D,ROUND,44;185,PINK
00603-5683-20_090E84D4,OVAL,5683;V,YELLOW
50458-0552-01_0E160770,OVAL,PAL;9,PINK
2356c567-01d8-0827-e054-00144ff88e88,CAPSULE,50;GG;332,WHITE
00555-0484-01_092B84CC,ROUND,b;484,WHITE
638240008,OVAL,Mucinex;600,WHITE
547380555,ROUND,5972;V,WHITE
68462-0223-01_NLMIMAGE10_7F40BFC5,ROUND,223;Plain,PINK
00591-0338-01_AC05561A,ROUND,WPI;338,WHITE
43547-0335-10_NLMIMAGE10_7E463F51,ROUND,S;341,WHITE
60505-2677-03_NLMIMAGE10_5D48AE95,ROUND,ARI;30;APO,PINK
67253-0320-10_F008F857,ROUND,M;1,YELLOW
498840085,PENTAGON (5 SIDED),par;085,BLUE
620370826,OVAL,Andrx;826,WHITE
678770105,CAPSULE,ASC;105,YELLOW
633040900,OVAL,RX900,WHITE
762820331,ROUND,IG;W;4,BLUE
131070144,OVAL,E;03,WHITE
604290119,CAPSULE,AP211,YELLOW
00555-0791-02_NLMIMAGE10_B641DB4E,CAPSULE,M;Amphet;Salts;15;mg,BLUE;WHITE
658620157,CAPSULE,A;59,PINK
62037-0571-10_D408EA17,OVAL,571;500,WHITE
634020191,ROUND,S191,WHITE
62037-0831-10_7812BC45,ROUND,831,WHITE
49884-0545-01_EE23776B,OVAL,Par;545,BROWN
605052579,OVAL,APO;ATV20,WHITE
641250904,ROUND,EP;904,WHITE
540920385,CAPSULE,ADDERALL;XR;15;mg,BLUE;WHITE
00591-2640-01_NLMIMAGE10_3F3D9FAC,CAPSULE,FIORICET,BLUE;BLUE
00093-5214-01_5A2BAD7D,OVAL,9;3;5214,WHITE
684620207,OVAL,G;207,YELLOW
422910684,ROUND,P;P;12;12,WHITE
525440539,OVAL,NORCO;539,YELLOW
00093-7335-06_C526E2A7,CAPSULE,TEVA;7335,WHITE
605050180,OVAL,APO;SE;25,GREEN
678770106,CAPSULE,ASC;106,YELLOW
689682020,OVAL,20mg;POT20,ORANGE
162520590,ROUND,SA;25,WHITE
684530777,CAPSULE,N;750,WHITE
00378-1140-01_B8235C0A,OVAL,M;B1,WHITE
00093-7472-43_NLMIMAGE10_A735D3FE,OVAL,93;7472,WHITE
67253-0741-50_7915BCDD,OVAL,S;741,WHITE
619580601,CAPSULE,200mg;GILEAD,WHITE
68462-0190-05_7B12BD95,CAPSULE,G;32;500,ORANGE
00378-0147-05_250812A0,CAPSULE,MYLAN;147,GREEN
65862-0201-90_NLMIMAGE10_234A1180,OVAL,E;45,GREEN
00378-2076-01_5A23AD6D,ROUND,L;26;M,GREEN
00555-9018-58_NLMIMAGE10_253692A4,ROUND,b;985,GRAY
604290315,OVAL,T600,GRAY
00406-0357-05_AA15D50E,OVAL,M357,WHITE
504190483,ROUND,CK,PINK
00009-7663-04_FD12FEA7,ROUND,7663,WHITE
658620031,CAPSULE,0;8;A,YELLOW
00024-5800-90_4112A085,OVAL,Y,WHITE
658620085,CAPSULE,C;97,RED;WHITE
107020003,ROUND,K;3,WHITE
427990106,OVAL,106,PINK
62175-0119-37_77083B81,CAPSULE,KU;119;,WHITE
00093-7431-56_NLMIMAGE10_F4437A3B,OVAL,T;V;74;31,YELLOW
668690147,CAPSULE,G;248;150,WHITE
00173-0561-00_97194BBA,OVAL,GX;CE3,WHITE
101350541,OVAL,LCI;1367,YELLOW
00074-9296-90_A51D52FA,ROUND,SYNTHROID;112,RED
762820225,CAPSULE,I;G;225,WHITE
665933126,CAPSULE,3126,BLUE;PURPLE
00555904558part2of2,ROUND,dp;519,GREEN
42865-0100-02_4815A41D,CAPSULE,EURAND;5,WHITE;WHITE
68180-0361-09_NLMIMAGE10_E54072D3,OVAL,LU;B22,WHITE
68382-0143-16_34089A34,CAPSULE,ZD19,WHITE
686820521,CAPSULE,cardizem;CD;360;mg,BLUE
00378-4186-93_37219BDC,ROUND,M;S1,GREEN
00093-5562-01_NLMIMAGE10_B241D90E,CAPSULE,TEVA;5562,BLUE;WHITE
00173-0643-60_F118F8A7,HEXAGON (6 SIDED),LAMICTAL;150,WHITE
650b510b-52a3-4d63-e053-2a91aa0a9915,CAPSULE,IMI;10,RED;BROWN
63f09e64-fe06-8ce6-e053-2a91aa0a81f6,ROUND,FC,PINK
637390213,ROUND,GG;225,WHITE
604290736,OVAL,APO;084,WHITE
647640151,ROUND,ACTOS;15,WHITE
51293-0611-01_NLMIMAGE10_1B468D84,ROUND,611,BROWN
64380-0741-08_NLMIMAGE10_5848AC25,RECTANGLE,5,WHITE
604290911,CAPSULE,200;CTI;111;,WHITE
516724023,ROUND,T53,WHITE
00555-9032-70_NLMIMAGE10_562FAB1D,ROUND,b;712,YELLOW
422910838,OVAL,93;7326,YELLOW
00430-0114-20_NLMIMAGE10_1A3A0D30,OVAL,D;D,WHITE
505320112,ROUND,AP;112,BLUE
40ce8b53-0ee6-1f38-e054-00144ff8d46c,ROUND,FC,ORANGE
65862-0524-05_NLMIMAGE10_2A49956C,OVAL,D;25,WHITE
00228-2127-10_5321A9ED,ROUND,R127,ORANGE
63ef552d-0bbc-c20e-e053-2991aa0a3a18,ROUND,FC,PINK
537460109,CAPSULE,IP;109,WHITE
633040632,CAPSULE,RX632,GREEN
516724131,ROUND,TARO;LMT;100,PINK
100_mg_Topiramate_Tablet,ROUND,ZD;14,WHITE
534890156,ROUND,MP;71,WHITE
00093-2929-01_E52972BB,ROUND,2929;93,WHITE
6e7691d8-5062-6212-e053-2a91aa0ab86d,ROUND,500,WHITE
627560762,ROUND,762,WHITE
576640223,ROUND,223,WHITE
00781-5186-01_7A23BD5D,CAPSULE,125;GG;337,BROWN
547380953,CAPSULE,riba;200;riba;200,WHITE
63459054228,ROUND,2;C,WHITE
00093-0924-01_B729DBEE,OVAL,9;3;0924,WHITE
27241-0006-06_NLMIMAGE10_5E41AF0D,CAPSULE,RI6,BROWN
00007-4896-20_D818EC47,FREEFORM,SB;4896,BROWN
00555902858part2of2,ROUND,b;247,BROWN
00228-2850-11_NLMIMAGE10_0C3E0630,ROUND,850,ORANGE
00555-0997-02_B107D88E,OVAL,b;997;1;10,YELLOW
605051329,CAPSULE,APO;XR750,WHITE
00310-0209-20_DC16EE77,ROUND,Z,WHITE
00071-0156-23_741C3A41,OVAL,PD;156;20,WHITE
62756-0131-01_A8085472,OVAL,131,YELLOW
00093-5105-56_B31B59DA,OVAL,R20;0168,WHITE
62037-0640-30_19268CC4,CAPSULE,Andrx;640;40;mg,GREEN;GREEN
597460245,ROUND,J;245,WHITE
00378-1411-01_8023407A,OVAL,M;411,BLUE
68462-0139-01_B8085C22,OVAL,G;13;and;9,YELLOW
683820081,OVAL,ZC;09,ORANGE
605050095,CAPSULE,APO;095,WHITE
597620180,CAPSULE,EffexorXR;375,GRAY;ORANGE
597460015,OVAL,TL015,WHITE
498840946,OVAL,083;KALI,ORANGE
59762-5023-01_9123C89E,OVAL,G;21,WHITE
00143-1458-10_251B92AC,ROUND,WW;458,WHITE
605052633,RECTANGLE,10MG;APO,WHITE
16714-0632-01_NLMIMAGE10_4C442621,OVAL,F;19,WHITE
64376-0604-61_F608FB57,OVAL,BOCA;604,WHITE
515250431,OVAL,WP;0321,ORANGE
00074-3727-90_9F1D4FFA,ROUND,SYNTHROID;137,BLUE
522440450,OVAL,SP;22,YELLOW
422910121,CAPSULE,AA;825,BROWN
604290347,ROUND,APO;ALF;10,YELLOW
615700024,FREEFORM,M;024,WHITE
00591-3171-04_110408B0,CAPSULE,WPI;3171,WHITE
00781-5710-01_NLMIMAGE10_EE0DF71F,OVAL,US;10,WHITE
57664-0506-58_1C090E48,ROUND,1,WHITE
651620033,ROUND,IP33;3,WHITE
597460383,CAPSULE,TL383,GRAY
687740601,ROUND,V;8,WHITE
68382-0198-16_FA0DFD1F,CAPSULE,P;3,PURPLE
762820213,OVAL,I;G;213,BLUE
3c684f6b-9304-6818-e054-00144ff88e88,ROUND,FC,PINK
293000189,ROUND,UL;lll,WHITE
762820152,ROUND,T;152,YELLOW
605052609,OVAL,APO;C25,WHITE
605050034,OVAL,APO;034;600,WHITE
581770342,ROUND,ETH;342,RED
00093-7438-01_84304232,CAPSULE,93;7438;93;7438,BLUE
16729-0022-15_NLMIMAGE10_65413289,ROUND,PIO;45,WHITE
686820101,OVAL,BVF;0117,WHITE
498840660,ROUND,ACH;016,PINK
00172-5032-60_002D0078,ROUND,5032;20;25,PINK
153100020,OVAL,Plain;C20,BLUE
43547-0255-50_NLMIMAGE10_673AB3E5,OVAL,255,WHITE
00591-2235-01_NLMIMAGE10_6A34B515,CAPSULE,WPI;2235,BLACK;YELLOW
00143-1268-01_7321B9DD,ROUND,WW;268,RED
00378-3855-77_FB1C7D93,ROUND,M;EC5,WHITE
57237-0019-30_NLMIMAGE10_3E3D9F7C,CAPSULE,X;03,BLUE;GREEN
57844-0019-01_NLMIMAGE10_8445420A,CAPSULE,ADIPEX;P;37;5,WHITE;BLUE
65162-0553-10_NLMIMAGE10_033C81E4,CAPSULE,AN;553,PINK
00591-0460-10_3D079EFC,ROUND,Watson;460,WHITE
33234c36-60b8-3847-e054-00144ff8d46c,ROUND,AP;019,WHITE
47335-0894-81_NLMIMAGE10_7F1DBFBD,ROUND,894,PINK
523430075,CAPSULE,F;12,BLUE
51672-4032-01_E52672E3,OVAL,5;WARFARIN;TARO,ORANGE
68012-0258-20_C91364AB,ROUND,C;9,WHITE
605050041,OVAL,APO;041;400,WHITE
504580141,OVAL,CFZ;300,WHITE
430680106,ROUND,6,WHITE
00093-5295-01_NLMIMAGE10_AD41D6FE,CAPSULE,93;5295;93;5295,WHITE;GREEN
590110460,ROUND,60;OP,RED
510790529,ROUND,M;753,BLUE
00574-0251-01_C215E10F,OVAL,P251,WHITE
2356c567-01d9-0827-e054-00144ff88e88,CAPSULE,75;GG;333,PURPLE
428060503,CAPSULE,E503,PINK;WHITE
47335-0737-13_NLMIMAGE10_313A98E4,ROUND,737,WHITE
605052653,ROUND,APO;T50,WHITE
429370704,OVAL,704,YELLOW
597620140,CAPSULE,FELDENE;PFIZER;322,RED;BLUE
31722-0278-10_241D925C,ROUND,IG;278,WHITE
605052522,ROUND,APO;CIL;100,WHITE
525440955,CAPSULE,FIORINAL;955,GREEN
00185-0048-01_94234A0A,ROUND,E;48,RED
00781-5555-92_NLMIMAGE10_D5496AAB,ROUND,SZ;76,PINK
520540550,ROUND,SB;5500,WHITE
00054-0198-13_NLMIMAGE10_EB3B75FB,OVAL,54;225,WHITE
23155-0064-01_NLMIMAGE10_C13C60B3,ROUND,HP64,WHITE
421920331,ROUND,AP;331,BROWN
00591-0795-10_D9156CCB,ROUND,WATSON;795,BLUE
411674120,OVAL,018;E,ORANGE
00074-6594-90_AB1D55FA,ROUND,SYNTHROID;88,GREEN
00093-5960-01_NLMIMAGE10_C243E15F,OVAL,TEVA;5960,WHITE
614420111,CAPSULE,200;CTI;111,BLUE
547380901,ROUND,MP;66,WHITE
605052531,CAPSULE,APO;ZIP;80,PURPLE;WHITE
00093-4234-01_292D1488,ROUND,2;Z;4234,ORANGE
00003-4214-21_1A1B8D0C,ROUND,2;5;4214,YELLOW
498840303,ROUND,ACCOLATE10,WHITE
23155-0006-01_5E0EAF35,ROUND,HP;6,YELLOW
605050224,OVAL,APO;AF;160,WHITE
59762-7021-05_5A07AD0D,ROUND,3;0;A,WHITE
00245-0041-11_9623CB0E,ROUND,KC;10,YELLOW
00591-2886-01_8D12C696,CAPSULE,60274;360;mg,PURPLE;YELLOW
00555-9032-70_NLMIMAGE10_5B2FAD8D,ROUND,b;713,BLUE
534890551,ROUND,MP;511,WHITE
00781-1452-01_D720EBF7,ROUND,GG771,WHITE
101350182,ROUND,N;8,YELLOW
504740597,OVAL,ucb;1000,WHITE
59762-0811-01_NLMIMAGE10_F740FB97,ROUND,KPI;207;Corgard;40,BLUE
504190862,ROUND,PRECOSE;100,WHITE
00555-0066-02_C82B642B,ROUND,b;066;100,WHITE
00009-0331-02_070803D0,CAPSULE,Cleocin;75;mg,GREEN
62175-0129-37_79083CD1,CAPSULE,KU;129;,WHITE
8a3253b0-1482-338d-e053-2a95a90a1857,ROUND,A102,WHITE
4933a495-7e19-4bd2-e054-00144ff88e88,ROUND,FC,ORANGE
00172-2662-46_592DAC9D,ROUND,TEVA;2662,ORANGE
68382-0131-01_9D08CEE6,OVAL,ZA49,WHITE
00781-1643-66_130409A0,ROUND,GGN4,PINK
596300375,CAPSULE,N;375,WHITE
605053251,DIAMOND,APO;LMV;150,WHITE
68180-0312-01_NLMIMAGE10_7D3B3EA9,ROUND,V12;LU,GREEN
16714-0356-01_NLMIMAGE10_CD4466D3,OVAL,E;12,ORANGE
162520526,CAPSULE,PV;10,WHITE
00591-3776-19_511B28B9,OVAL,PD;157;40,WHITE
458020315,OVAL,F;48,WHITE
498840405,ROUND,m;50,WHITE
50844-0519-02_NLMIMAGE10_D538EA97,OVAL,L;5,RED;BLUE
00591-5782-01_A30451D2,ROUND,DAN;5782,WHITE
00591-5661-01_520EA935,ROUND,DAN;5661,YELLOW
63459040230,ROUND,C;402,ORANGE
605050147,OVAL,LOR;10;APO,WHITE
501110851,CAPSULE,PA46,YELLOW
00093-3195-01_BF295F9A,CAPSULE,TEVA;3195,BLUE;WHITE
458020650,OVAL,L612,WHITE
597624900,OVAL,G;4900;50;mg,BLUE
525440951,ROUND,WATSON;631,GREEN
00781-1852-20_NLMIMAGE10_50402831,OVAL,GGN7,WHITE
67877-0222-05_NLMIMAGE10_2A3B1538,CAPSULE,216,WHITE
00093-5297-01_NLMIMAGE10_3C421E30,CAPSULE,93;5297;93;5297,WHITE;BROWN
21130-0386-27_NLMIMAGE10_E938F4E7,OVAL,44;386,BLUE
33342-0060-10_NLMIMAGE10_E8447453,ROUND,L11,PINK
43598-0319-30_NLMIMAGE10_E43FF26F,OVAL,R;411,WHITE
00597-0046-60_C01DE05F,OVAL,54;193,WHITE
65862-0391-10_NLMIMAGE10_3E3F1F78,ROUND,7;E,WHITE
63304-0539-10_NLMIMAGE10_DB396DAB,ROUND,RG10,WHITE
537460116,CAPSULE,IP116,WHITE
00078-0351-05_6C163601,ROUND,STARLIX;60,PINK
00591-2318-19_NLMIMAGE10_E54772DB,OVAL,VH4,PINK
00527-1537-30_2215915C,ROUND,LCI;1537,YELLOW
669930417,OVAL,4810,WHITE
00781-1438-01_BD07DE8E,ROUND,GG489,BROWN
00056-0170-70_95134AFA,ROUND,2;COUMADIN,PURPLE
429370703,ROUND,703,YELLOW
544820144,ROUND,CARNITOR;ST,WHITE
647640301,ROUND,ACTOS;30,WHITE
00378-6440-01_E21DF16F,CAPSULE,MYLAN;6440,BLUE
67877-0197-05_NLMIMAGE10_914948BA,ROUND,211,WHITE
00093-1041-01_C429E27F,ROUND,93;1041,PINK
167290034,ROUND,LT,YELLOW
00555903458part2of2,ROUND,b;944,WHITE
68180-0554-09_NLMIMAGE10_9B474DBA,ROUND,LU;F04,YELLOW
23155-0106-10_F8077C4B,ROUND,H;106,WHITE
23155-0119-01_NLMIMAGE10_6F3FB7ED,OVAL,H119,ORANGE
00143-9581-30_NLMIMAGE10_45332289,OVAL,5;7;W,BLUE
00591-0461-05_3B079DAC,ROUND,Watson;461,WHITE
43547-0331-09_NLMIMAGE10_5D4B2E89,CAPSULE,327;HH,PINK
162520509,CAPSULE,SV80,PINK
55111-0170-05_58052C19,OVAL,C;01;70,YELLOW
139130008,CAPSULE,X592,YELLOW
00378-0277-01_74133A79,ROUND,MYLAN;277,WHITE
68462-0235-01_NLMIMAGE10_693B3489,ROUND,G19;10,BROWN
524270285,CAPSULE,Macrobid;52427285,YELLOW;BLACK
00093-5298-01_NLMIMAGE10_F7427BC3,CAPSULE,93;5298;93;5298,WHITE;BROWN
00173-0760-60_FB197DCB,ROUND,LAMICTAL;XR;25,YELLOW
675440720,ROUND,2684;V,BLUE
00093-2060-98_072983CC,OVAL,FO,WHITE
162520508,ROUND,SV;40,PINK
50844-0112-22_NLMIMAGE10_04390268,ROUND,44;112,RED
51285004702,ROUND,b;47,YELLOW
00555-9018-58_NLMIMAGE10_2F369784,ROUND,b;987,BLUE
677670141,ROUND,141,WHITE
433530724,ROUND,LANOXIN;X3A,WHITE
188600324,ROUND,SP;324;2,WHITE
00603-6349-02_NLMIMAGE10_17430BF8,OVAL,L239,YELLOW
63459054428,ROUND,4;C,WHITE
596760278,ROUND,TMC;25,WHITE
597621302,ROUND,C;75,BLUE
13811-0583-30_NLMIMAGE10_911DC8BE,CAPSULE,T583,PURPLE
605052608,OVAL,APO;125,WHITE
00093-5049-06_A22D511A,OVAL,4833M;15;500,WHITE
2e1bf7fd-929f-53e5-e054-00144ff8d46c,ROUND,AP;009,ORANGE
55111-0532-01_NLMIMAGE10_C238E137,CAPSULE,THIS;END;UP;RDY;532,WHITE
165710413,CAPSULE,P;750,WHITE
00093-7314-56_18280C00,OVAL,TV;7314,PINK
59762-3718-04_0B1D859C,OVAL,G3718,BLUE
27241-0002-50_NLMIMAGE10_76433B39,ROUND,RI1,ORANGE
428650303,CAPSULE,APTALIS;20,GREEN;WHITE
651620957,CAPSULE,HMP40,PINK
162520528,CAPSULE,PV40,WHITE
00093-7810-56_NLMIMAGE10_5B43AD9D,ROUND,TV;7810,YELLOW
00781-5185-01_8323C1DE,CAPSULE,112;GG;336,RED
13811-0515-10_NLMIMAGE10_173D0B88,OVAL,TL515,YELLOW
10702-0006-01_NLMIMAGE10_1F3A0FA0,ROUND,K;6,ORANGE
00002-3270-30_A91354EA,CAPSULE,LILLY;3270;60;mg,GREEN;BLUE
00591-3423-01_F5077A9B,ROUND,DAN;5565,YELLOW
521520346,ROUND,E;760,WHITE
63304-0191-30_NLMIMAGE10_AA405562,DIAMOND,L189,PINK
604290325,OVAL,APO;ATV40,WHITE
00049-2330-45_3C1C9E04,ROUND,REP20;Pfizer,ORANGE
00078-0456-05_D5126A83,OVAL,T;D;C;G,GREEN
605052535,OVAL,OXC;300;APO,YELLOW
00093-7258-56_28301410,OVAL,93;7258,BLUE
57237-0045-60_NLMIMAGE10_B23FD94E,OVAL,D;63,YELLOW
677810252,RECTANGLE,PF;U;600,WHITE
00093-7154-56_2C281650,ROUND,7154;TV,BROWN
00093-7146-18_5D242E91,OVAL,93;7146,PINK
516724138,ROUND,T;G1,WHITE
29300-0130-05_NLMIMAGE10_63443191,CAPSULE,U;130,WHITE
605053517,OVAL,APO;LXR;750,WHITE
498840726,CAPSULE,par;726,WHITE
658620011,CAPSULE,A;1;6,GREEN
605053780,CAPSULE,EffexorXR;150,ORANGE
669930894,CAPSULE,A;10;mg,BROWN;WHITE
00378-0611-01_070903F8,ROUND,MYLAN;611,BROWN
00603-5339-32_6612B345,ROUND,5092;V,ORANGE
00378-6201-01_9312C996,CAPSULE,MYLAN;6201,RED;WHITE
644550799,CAPSULE,cardizem;CD;360;mg,BLUE
68968-3500-01_581E2C71,OVAL,NVN2,ORANGE
00378-2075-01_7D213ED9,ROUND,L;25;M,YELLOW
00832-0300-00_A904D486,ROUND,832;10,BROWN
55111-0189-01_NLMIMAGE10_D7416BBB,ROUND,R;5,WHITE
459630345,ROUND,345,BLUE
00093-7202-98_6323B1ED,ROUND,TEVA;7202,GREEN
62175-0107-01_7F083FD1,ROUND,20;KU;107,WHITE
50844-0453-44_NLMIMAGE10_3D391EE8,ROUND,44;453,RED
00173-0759-60_F5197ACB,ROUND,LAMICTAL;XR;100,ORANGE
51285-0084-98_NLMIMAGE10_FB367DA3,ROUND,b;247,BROWN
16729-0035-15_NLMIMAGE10_5A3AAD25,ROUND,AHI,WHITE
51285012058part3of3,ROUND,dp;457,YELLOW
31722-0542-01_NLMIMAGE10_294594EC,CAPSULE,H;103,GREEN
664895aa-9004-1423-e053-2a91aa0ad326,OVAL,O;E;800,WHITE
00093-7167-98_6129B0CD,ROUND,93;7167,WHITE
813de020-5779-3a2f-e053-2a91aa0ae788,OVAL,SCU1,RED
3b756c58-f458-63a3-e054-00144ff8d46c,ROUND,AS,YELLOW;ORANGE;PINK
50419-0106-10_SPLIMAGE30_10190868,OVAL,Betapace;160;mg,BLUE
8542c234-85cc-41f0-e053-2991aa0a2e27,ROUND,L7,RED
a36c240d-dde9-105c-e053-2a95a90a662f,CAPSULE,HTP500,WHITE
a75d586d-2f2f-f796-e053-2995a90ac776,RECTANGLE,G;4,WHITE
a13fd9b9-3c01-bb73-e053-2a95a90a7048,ROUND,FC,RED
a1413e35-764f-20c6-e053-2995a90abae4,ROUND,FC,GREEN
51285008787part2of2,ROUND,b;556,YELLOW
18a79505-b506-62c0-e054-00144ff88e88,ROUND,21G,PINK
63b389b9-3f49-d715-e053-2a91aa0ad08e,ROUND,DR,PINK
51285013197,ROUND,b;977,YELLOW
51285009287part2of2,ROUND,b;556,YELLOW
50419-0403-01_SPLIMAGE30_9A194D0A,ROUND,Y,ORANGE
50419-0407-01_SPLIMAGE30_42192129,ROUND,Z,PINK
605050114,CAPSULE,APO;114,WHITE;ORANGE
52544084828part1of2,ROUND,848;WATSON,WHITE
00555904758part3of4,ROUND,dp;512,ORANGE
51285036801,OVAL,b;929;10,PINK
00173-0831-13_SPLIMAGE30_2C191678,ROUND,BAYER;20,ORANGE
63459041630,OVAL,C;416,BLUE
ASC02190,CAPSULE,219,GREEN
00555902858part1of2,ROUND,b;978,PINK
549d9cc4-13de-57ad-e054-00144ff8d46c,ROUND,XL3;FORTE,YELLOW
647640302,ROUND,30;2;4833G,WHITE
29300-0241-10_NLMIMAGE10_AF3DD7BE,ROUND,U;241,WHITE
55111-0395-30_NLMIMAGE10_C14060D3,CAPSULE,LU;C22,GREEN
